timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:54:55.154, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:55:00.157, 97, 71, 11178, 10761, 417, 252.07
2020/06/08 18:55:00.160, 0, 0, 11176, 170, 11006, 11.17
2020/06/08 18:55:05.163, 100, 66, 11178, 10761, 417, 266.86
2020/06/08 18:55:05.173, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:55:10.176, 99, 62, 11178, 10761, 417, 184.54
2020/06/08 18:55:10.178, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:55:15.182, 97, 77, 11178, 10761, 417, 268.61
2020/06/08 18:55:15.184, 0, 0, 11176, 170, 11006, 11.94
2020/06/08 18:55:20.188, 99, 62, 11178, 10761, 417, 192.45
2020/06/08 18:55:20.192, 0, 0, 11176, 170, 11006, 12.14
2020/06/08 18:55:25.199, 78, 8, 11178, 2, 11176, 97.34
2020/06/08 18:55:25.201, 0, 0, 11176, 18, 11158, 12.34
